"firstday","weighted_ILIpercent"
2004-11-21,1.67479
2004-11-28,2.37691
2004-12-05,1.59531
2004-12-12,1.97132
2004-12-19,2.50622
2004-12-26,2.35798
2005-01-02,2.35274
2005-01-09,2.36786
2005-01-16,3.25644
2005-01-23,4.34684
2005-01-30,7.8231
2005-02-06,8.21776
2005-02-13,8.64111
2005-02-20,6.48391
2005-02-27,4.89043
2005-03-06,4.25111
2005-03-13,3.24371
2005-03-20,2.40067
2005-03-27,2.25717
2005-04-03,1.8331
2005-04-10,1.50551
2005-04-17,1.64094
2005-04-24,1.39832
2005-05-01,1.28164
2005-05-08,1.65509
2005-05-15,1.37833
2005-05-22,1.46609
2005-05-29,1.94826
2005-06-05,1.7042
2005-06-12,1.44527
2005-06-19,1.2712
2005-06-26,1.20018
2005-07-03,1.03866
2005-07-10,1.16575
2005-07-17,1.00399
2005-07-24,1.19935
2005-07-31,1.00086
2005-08-07,0.863881
2005-08-14,0.738157
2005-08-21,1.49715
2005-08-28,2.37433
2005-09-04,1.557
2005-09-11,1.84925
2005-09-18,1.97864
2005-09-25,1.64599
2005-10-02,0.878791
2005-10-09,1.16807
2005-10-16,1.22296
2005-10-23,1.21402
2005-10-30,1.4868
2005-11-06,1.85034
2005-11-13,1.97266
2005-11-20,2.02691
2005-11-27,1.94761
2005-12-04,2.34115
2005-12-11,3.10523
2005-12-18,4.7602
2005-12-25,5.99246
2006-01-01,5.06608
2006-01-08,4.30729
2006-01-15,5.72341
2006-01-22,4.68854
2006-01-29,4.66312
2006-02-05,4.11305
2006-02-12,5.67923
2006-02-19,5.44283
2006-02-26,5.89019
2006-03-05,4.78492
2006-03-12,3.39459
2006-03-19,3.45402
2006-03-26,2.95335
2006-04-02,3.26771
2006-04-09,2.29651
2006-04-16,2.28708
2006-04-23,1.96026
2006-04-30,1.49393
2006-05-07,1.82137
2006-05-14,2.1986
2006-05-21,1.65683
2006-05-28,2.62348
2006-06-04,2.10106
2006-06-11,1.45963
2006-06-18,1.39325
2006-06-25,1.4752
2006-07-02,1.68021
2006-07-09,1.3605
2006-07-16,1.18289
2006-07-23,1.1807
2006-07-30,1.26798
2006-08-06,1.461
